"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"22","M. Hall","G-F",38,5,12,2,5,2,2,3,3,6,5,4,0,1,0,14,3
"32","T. Plaisted","F-C",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"42","C. Miles","F-C",1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,3
"52","J. Jensen","F-C",25,6,8,0,0,4,4,4,1,5,0,0,0,3,4,16,3
"72","D. Burgess","C",26,3,11,2,6,0,0,1,2,3,0,2,3,2,3,8,3
"82","D. Dawes","C",19,4,7,0,0,2,2,0,6,6,1,1,1,2,1,10,3
"92","B. Reichner","G",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"102","S. Burgess","G",26,3,11,2,6,0,0,1,2,3,0,2,3,2,3,8,3
"112","M. Rose","G",14,2,5,1,3,0,0,0,0,0,3,0,0,1,0,5,3
"122","A. Ainge","G",14,1,3,0,1,0,0,0,4,4,2,0,0,3,3,2,3
"131","J. Reisman","G",5,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,3
"141","T. Nashif","G",21,2,3,0,0,0,0,0,4,4,5,1,1,1,2,4,3
"16","K. Young","F",32,2,7,0,1,0,0,4,5,9,2,2,2,2,4,4,5
